Line;Errors;Warnings;sku;ean;sku_manufacturer;brand;manufacturer;mm_category_id;merchant_category;title;description;product_url;image_1;image_2;image_3;image_4;image_5;cross_sell_sku;Sample_SKU;manufacturer_pdf;product_information_pdf;repairability_index_pdf;product_instructions_pdf;safety_information_pdf;refrigeration_devices_information_pdf;eu_energy_efficiency_class_url;unit_count;unit_count_type;ParentSKU;parent_title;length;length_unit;width;width_unit;height;height_unit;weight;weight_unit;volume;volume_unit;light_output;light_output_unit;power;power_unit;voltage;voltage_unit;battery_life;battery_life_unit;amperage;amperage_unit;rotational_speed;rotational_speed_unit;max._flow_rate;max._flow_rate_unit;noise_level;noise_level_unit;pressure;pressure_unit;colour;finish;shape;ip_rating;cap_fitting;energy_efficiency_rating;size;connection_type;pipe_thread_size;working_width_/_diameter;working_width_/_diameter_unit;disc_/_blade_diameter;disc_/_blade_diameter_unit;coverage;coverage_unit;light_colour;center-to-center_distance;center-to-center_distance_unit;engine_capacity;engine_capacity_unit;number_of_seats;number_of_seats_unit;power_source;fixing_method;maximum_load;maximum_load_unit;power_supply;style;battery_technology;number_of_batteries;number_of_batteries_unit;range;range_unit;angle,_tilt;angle,_tilt_unit;pcs_per_pack;pcs_per_pack_unit;warranty;warranty_unit;availability_of_spare_parts;availability_of_spare_parts_unit;volume_in_litres;volume_in_litres_unit;tank/collection_capacity;tank/collection_capacity_unit;indoor_/_outdoor;type_of_electrical_installation;environmental_certification;type_of_power_connector;reparability_index;reparability_index_unit;paint_finish;colour_name;colour_code;battery_capacity;battery_capacity_unit;max._energy_efficiency_rating;min._energy_efficiency_rating;main_material;folding_thickness;folding_thickness_unit;folding_angle;folding_angle_unit;box_length;box_length_unit;box_width;box_width_unit;box_height;box_height_unit;screen_size_(in_inches);screen_size_(in_inches)_unit;product_price_vat_inc;sales;retail_price_vat_inc;eco_participation;min_quantity;increment;quantity_lower_bound_1;quantity_price_1;quantity_lower_bound_2;quantity_price_2;quantity_lower_bound_3;quantity_price_3;quantity;carrier_grid_1;carrier_grid_2;carrier_grid_3;carrier_grid_4;carrier_grid_5;carrier_grid_6;shipping_time_carrier_grid_1;shipping_time_carrier_grid_2;shipping_time_carrier_grid_3;shipping_time_carrier_grid_4;shipping_time_carrier_grid_5;shipping_time_carrier_grid_6;DisplayWeight
2;"Product disallowed, please update product info and try again to import the offer.
The product does not belong to the categories of products allowed for sale on ManoMano. FAQ.";displayWeight is mandatory when use_grid is true;COOLINGRACK_1;5056061800009;COOLINGRACK_1;STORM TRADING GROUP;STORM TRADING GROUP;20215;;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">EXTRA LARGE 18” COOLING RACK: Every home baker needs a cooling rack on hand for when their creations come out of the oven, because it helps air to circulate around just-baked cakes, muffins, biscuits and cookies when they’re hot out of the oven so they can cool evenly, more quickly especially if you have plans for decorating them.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">KITCHEN BAKING ESSENTIAL: Our large 18″chrome plated rectangular cooling tray cools cakes and biscuits evenly. This is an essential kitchen item for baking and is dishwasher safe. You can optimize baking and cooling processes with our cooling rack, engineered for even heat distribution and fast cooling.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPEED UP THE COOLING PROCESS: Speed up the cooling of your pastries in your kitchen with our cooling rack patisserie grid. Our cooling rack enables better air circulation and allows the maximum surface area of your freshly baked food to be cooled, speeding up your cooling times considerably and enabling a smooth service, even during busy periods.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our large rack measures 18” (46cm x 31.5cm). Simply select the number of cooling racks required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/COOLINGRACK1.jpg?v=1758711192;;;;;;;;;;;;;;;;extra-large-18-chrome-plated-cooling-rack-cool-freshly-baked-goods;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.99;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
3;"Product disallowed, please update product info and try again to import the offer.
The product does not belong to the categories of products allowed for sale on ManoMano. FAQ.";displayWeight is mandatory when use_grid is true;COOLINGRACK_2;5056061800016;COOLINGRACK_2;STORM TRADING GROUP;STORM TRADING GROUP;20215;;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">EXTRA LARGE 18” COOLING RACK: Every home baker needs a cooling rack on hand for when their creations come out of the oven, because it helps air to circulate around just-baked cakes, muffins, biscuits and cookies when they’re hot out of the oven so they can cool evenly, more quickly especially if you have plans for decorating them.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">KITCHEN BAKING ESSENTIAL: Our large 18″chrome plated rectangular cooling tray cools cakes and biscuits evenly. This is an essential kitchen item for baking and is dishwasher safe. You can optimize baking and cooling processes with our cooling rack, engineered for even heat distribution and fast cooling.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPEED UP THE COOLING PROCESS: Speed up the cooling of your pastries in your kitchen with our cooling rack patisserie grid. Our cooling rack enables better air circulation and allows the maximum surface area of your freshly baked food to be cooled, speeding up your cooling times considerably and enabling a smooth service, even during busy periods.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our large rack measures 18” (46cm x 31.5cm). Simply select the number of cooling racks required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/COOLINGRACK4.jpg?v=1758711192;;;;;;;;;;;;;;;;extra-large-18-chrome-plated-cooling-rack-cool-freshly-baked-goods;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.99;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
4;"Product disallowed, please update product info and try again to import the offer.
The product does not belong to the categories of products allowed for sale on ManoMano. FAQ.
Product disallowed, with undefined reason: NOT_LEGALLY_COMPLIANT";displayWeight is mandatory when use_grid is true;COOLINGRACK_3;5056061800023;COOLINGRACK_3;STORM TRADING GROUP;STORM TRADING GROUP;20215;;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">EXTRA LARGE 18” COOLING RACK: Every home baker needs a cooling rack on hand for when their creations come out of the oven, because it helps air to circulate around just-baked cakes, muffins, biscuits and cookies when they’re hot out of the oven so they can cool evenly, more quickly especially if you have plans for decorating them.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">KITCHEN BAKING ESSENTIAL: Our large 18″chrome plated rectangular cooling tray cools cakes and biscuits evenly. This is an essential kitchen item for baking and is dishwasher safe. You can optimize baking and cooling processes with our cooling rack, engineered for even heat distribution and fast cooling.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPEED UP THE COOLING PROCESS: Speed up the cooling of your pastries in your kitchen with our cooling rack patisserie grid. Our cooling rack enables better air circulation and allows the maximum surface area of your freshly baked food to be cooled, speeding up your cooling times considerably and enabling a smooth service, even during busy periods.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our large rack measures 18” (46cm x 31.5cm). Simply select the number of cooling racks required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/COOLINGRACK3.jpg?v=1758711192;;;;;;;;;;;;;;;;extra-large-18-chrome-plated-cooling-rack-cool-freshly-baked-goods;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.95;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
5;product_price_vat_inc field is mandatory;;extra-large-18-chrome-plated-cooling-rack-cool-freshly-baked-goods;5056061800030;extra-large-18-chrome-plated-cooling-rack-cool-freshly-baked-goods;STORM TRADING GROUP;STORM TRADING GROUP;20215;;"Extra Large 18"" Chrome Plated Cooling Rack Cool Freshly Baked Goods";"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">EXTRA LARGE 18” COOLING RACK: Every home baker needs a cooling rack on hand for when their creations come out of the oven, because it helps air to circulate around just-baked cakes, muffins, biscuits and cookies when they’re hot out of the oven so they can cool evenly, more quickly especially if you have plans for decorating them.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">KITCHEN BAKING ESSENTIAL: Our large 18″chrome plated rectangular cooling tray cools cakes and biscuits evenly. This is an essential kitchen item for baking and is dishwasher safe. You can optimize baking and cooling processes with our cooling rack, engineered for even heat distribution and fast cooling.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPEED UP THE COOLING PROCESS: Speed up the cooling of your pastries in your kitchen with our cooling rack patisserie grid. Our cooling rack enables better air circulation and allows the maximum surface area of your freshly baked food to be cooled, speeding up your cooling times considerably and enabling a smooth service, even during busy periods.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our large rack measures 18” (46cm x 31.5cm). Simply select the number of cooling racks required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/COOLINGRACK2.jpg?v=1758711192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;0;UK Mainland;;;;;;3#5;;;;;;
6;;displayWeight is mandatory when use_grid is true;BROWNIETRAY_1;5056061800047;BROWNIETRAY_1;STORM TRADING GROUP;STORM TRADING GROUP;20215;;Non-Stick Brownie Pan Tray Bake with Loose Base;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">BROWNIE TRAY: Our non-stick brownie tin has been made to make baking much easier and more fun. Using a raised pattern on the cooking surface not only looks beautiful but it also provides added benefits of improved air flow and release. The non-stick coating, combined with this surface is your secret to perfect and even baking.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">EASY RELEASE: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">NEW DOUBLE LAYER NON STICK COATING: Our brownie tray offers a double layered non-stick coating for excellent food release and ease of cleaning and is perfect for all of your baking needs. Dishwasher safe for added convenience, this brownie tray is oven safe up to 230 degrees and is ideal to bake your delicious homemade treats.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Each brownie tray measures: 22.5cm x 22.5cm x 4.5cm, simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/BROWNIETRAY1.jpg?v=1758711085;;;;;;;;;;;;;;;;non-stick-brownie-pan-tray-bake-with-loose-base;Non-Stick Brownie Pan Tray Bake with Loose Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.99;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
7;;displayWeight is mandatory when use_grid is true;BROWNIETRAY_2;5056061800054;BROWNIETRAY_2;STORM TRADING GROUP;STORM TRADING GROUP;20215;;Non-Stick Brownie Pan Tray Bake with Loose Base;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">BROWNIE TRAY: Our non-stick brownie tin has been made to make baking much easier and more fun. Using a raised pattern on the cooking surface not only looks beautiful but it also provides added benefits of improved air flow and release. The non-stick coating, combined with this surface is your secret to perfect and even baking.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">EASY RELEASE: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">NEW DOUBLE LAYER NON STICK COATING: Our brownie tray offers a double layered non-stick coating for excellent food release and ease of cleaning and is perfect for all of your baking needs. Dishwasher safe for added convenience, this brownie tray is oven safe up to 230 degrees and is ideal to bake your delicious homemade treats.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Each brownie tray measures: 22.5cm x 22.5cm x 4.5cm, simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/BROWNIETRAY5.jpg?v=1758711085;;;;;;;;;;;;;;;;non-stick-brownie-pan-tray-bake-with-loose-base;Non-Stick Brownie Pan Tray Bake with Loose Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.25;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
8;;displayWeight is mandatory when use_grid is true;BROWNIETRAY_3;5056061800061;BROWNIETRAY_3;STORM TRADING GROUP;STORM TRADING GROUP;20215;;Non-Stick Brownie Pan Tray Bake with Loose Base;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">BROWNIE TRAY: Our non-stick brownie tin has been made to make baking much easier and more fun. Using a raised pattern on the cooking surface not only looks beautiful but it also provides added benefits of improved air flow and release. The non-stick coating, combined with this surface is your secret to perfect and even baking.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">EASY RELEASE: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">NEW DOUBLE LAYER NON STICK COATING: Our brownie tray offers a double layered non-stick coating for excellent food release and ease of cleaning and is perfect for all of your baking needs. Dishwasher safe for added convenience, this brownie tray is oven safe up to 230 degrees and is ideal to bake your delicious homemade treats.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Each brownie tray measures: 22.5cm x 22.5cm x 4.5cm, simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/BROWNIETRAY4.jpg?v=1758711085;;;;;;;;;;;;;;;;non-stick-brownie-pan-tray-bake-with-loose-base;Non-Stick Brownie Pan Tray Bake with Loose Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.99;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
9;product_price_vat_inc field is mandatory;;non-stick-brownie-pan-tray-bake-with-loose-base;5056061800078;non-stick-brownie-pan-tray-bake-with-loose-base;STORM TRADING GROUP;STORM TRADING GROUP;20215;;Non-Stick Brownie Pan Tray Bake with Loose Base;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">BROWNIE TRAY: Our non-stick brownie tin has been made to make baking much easier and more fun. Using a raised pattern on the cooking surface not only looks beautiful but it also provides added benefits of improved air flow and release. The non-stick coating, combined with this surface is your secret to perfect and even baking.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">EASY RELEASE: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">NEW DOUBLE LAYER NON STICK COATING: Our brownie tray offers a double layered non-stick coating for excellent food release and ease of cleaning and is perfect for all of your baking needs. Dishwasher safe for added convenience, this brownie tray is oven safe up to 230 degrees and is ideal to bake your delicious homemade treats.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Each brownie tray measures: 22.5cm x 22.5cm x 4.5cm, simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/BROWNIETRAY3.jpg?v=1758711085;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/BROWNIETRAY2.jpg?v=1758711085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;0;UK Mainland;;;;;;3#5;;;;;;
10;;displayWeight is mandatory when use_grid is true;"SPRINGFORM9""-1";5056061800085;"SPRINGFORM9""-1";STORM TRADING GROUP;STORM TRADING GROUP;20215;;22cm Non-Stick Springform 9 Inch Cake Pan;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">22CM SPRINGFORM: Our large 22cm spring form is perfect for making a variety of fruit, sponge and cheesecakes, including wedding and celebration cakes. This non-stick, round cake tin is as versatile and functional. It is made from heavy duty commercial weight steel; the double non-stick coating and the loose base ensure easy release every time.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">DOUBLE NON-STICK COATING: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPRINGFORM CLASP: Using our large spring foam tin you can easily remove the baked cake by using the clasp on the side for easy release.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our spring form tin measures 23cm (23cm x 23cm x 6cm) approx. Simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/SPRINGFORMTIN9-1.jpg?v=1758710980;;;;;;;;;;;;;;;;22cm-non-stick-springform-9-inch-cake-pan;22cm Non-Stick Springform 9 Inch Cake Pan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.95;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
11;;displayWeight is mandatory when use_grid is true;"SPRINGFORM9""-2";5056061800092;"SPRINGFORM9""-2";STORM TRADING GROUP;STORM TRADING GROUP;20215;;22cm Non-Stick Springform 9 Inch Cake Pan;"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">22CM SPRINGFORM: Our large 22cm spring form is perfect for making a variety of fruit, sponge and cheesecakes, including wedding and celebration cakes. This non-stick, round cake tin is as versatile and functional. It is made from heavy duty commercial weight steel; the double non-stick coating and the loose base ensure easy release every time.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">DOUBLE NON-STICK COATING: Double Non-Stick coating for exceptional release. Insulated with a double layer of steel, creating an air pocket and eliminating hot spots for even baking. Oven safe to 230 degrees C. Freezer and diswasher safe.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SPRINGFORM CLASP: Using our large spring foam tin you can easily remove the baked cake by using the clasp on the side for easy release.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">SIZE DIMENSIONS: Our spring form tin measures 23cm (23cm x 23cm x 6cm) approx. Simply select the number of tins required from the menu above.</span></li>
</ul>";;https://cdn.shopify.com/s/files/1/0919/8400/3399/files/SPRINGFORMTIN9-4.jpg?v=1758710980;;;;;;;;;;;;;;;;22cm-non-stick-springform-9-inch-cake-pan;22cm Non-Stick Springform 9 Inch Cake Pan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Count;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.5;;;;1;1;;;;;;;5000;UK Mainland;;;;;;3#5;;;;;;
